                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74592,                0.57447,                      1,                0.62745,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                0.42514,                0.97872,                      1,                0.41667,             0.00010936,             0.00010936,             0.00010936
                      3,                0.20802,                      1,                      1,                0.35526,             0.00014888,             0.00014888,             0.00014888
                      4,                 0.1131,                      1,                      1,                0.33479,             0.00017568,             0.00017568,             0.00017568
                      5,                0.07027,                      1,                      1,                0.32319,             0.00018975,             0.00018975,             0.00018975
                      6,                0.03644,                      1,                      1,                 0.3188,              0.0001911,              0.0001911,              0.0001911
                      7,                0.14812,                      1,                      1,                0.31796,             0.00017973,             0.00017973,             0.00017973
                      8,                0.02169,                      1,                      1,                0.31608,             0.00015563,             0.00015563,             0.00015563
                      9,                0.12767,                      1,                      1,                0.31659,             0.00011881,             0.00011881,             0.00011881
                     10,                0.18311,                      1,                      1,                0.31622,             6.9265e-05,             6.9265e-05,             6.9265e-05
